Time_s,Volume_Mother_L,Volume_Bud_L
0.0,3.6000000000000004e-14,0.0
30.0,3.6000000000000004e-14,0.0
60.0,3.6000000000000004e-14,0.0
90.0,3.6000000000000004e-14,0.0
120.0,3.6000000000000004e-14,0.0
150.0,3.6000000000000004e-14,0.0
180.0,3.6000000000000004e-14,0.0
210.0,3.6000000000000004e-14,0.0
240.0,3.6000000000000004e-14,0.0
270.0,3.6000000000000004e-14,0.0
300.0,3.6000000000000004e-14,0.0
330.0,3.6000000000000004e-14,0.0
360.0,3.6000000000000004e-14,0.0
390.0,3.6000000000000004e-14,0.0
420.0,3.6000000000000004e-14,0.0
450.0,3.6000000000000004e-14,0.0
480.0,3.6000000000000004e-14,0.0
510.0,3.6000000000000004e-14,0.0
540.0,3.6000000000000004e-14,0.0
570.0,3.6000000000000004e-14,0.0
600.0,3.6000000000000004e-14,0.0
630.0,3.6000000000000004e-14,0.0
660.0,3.6000000000000004e-14,0.0
690.0,3.6000000000000004e-14,0.0
720.0,3.6000000000000004e-14,0.0
750.0,3.6000000000000004e-14,0.0
780.0,3.6000000000000004e-14,0.0
810.0,3.6000000000000004e-14,0.0
840.0,3.6000000000000004e-14,0.0
870.0,3.6000000000000004e-14,0.0
900.0,3.6000000000000004e-14,0.0
930.0,3.6000000000000004e-14,0.0
960.0,3.6000000000000004e-14,0.0
990.0,3.6000000000000004e-14,0.0
1020.0,3.6000000000000004e-14,0.0
1050.0,3.6000000000000004e-14,0.0
1080.0,3.6000000000000004e-14,0.0
1110.0,3.6000000000000004e-14,0.0
1140.0,3.6000000000000004e-14,0.0
1170.0,3.6000000000000004e-14,0.0
1200.0,3.6000000000000004e-14,2.3420792292463902e-17
1230.0,3.6000000000000004e-14,6.62440042030514e-17
1260.0,3.6000000000000004e-14,1.216980066121951e-16
1290.0,3.6000000000000004e-14,1.8736633833971122e-16
1320.0,3.6000000000000004e-14,2.618524182642621e-16
1350.0,3.6000000000000004e-14,3.4421394292947383e-16
1380.0,3.6000000000000004e-14,4.3375914339770476e-16
1410.0,3.6000000000000004e-14,5.299520336244112e-16
1440.0,3.6000000000000004e-14,6.323613918965252e-16
1470.0,3.6000000000000004e-14,7.406304824990236e-16
1500.0,3.6000000000000004e-14,8.544577835964548e-16
1530.0,3.6000000000000004e-14,9.735840528975608e-16
1560.0,3.6000000000000004e-14,1.097783277792115e-15
1590.0,3.6000000000000004e-14,1.2268561267927403e-15
1620.0,3.6000000000000004e-14,1.3606250775554355e-15
1650.0,3.6000000000000004e-14,1.4989307067176897e-15
1680.0,3.6000000000000004e-14,1.6416288077771708e-15
1710.0,3.6000000000000004e-14,1.7885881134823875e-15
1740.0,3.6000000000000004e-14,1.939688468829622e-15
1770.0,3.6000000000000004e-14,2.094819346114097e-15
1800.0,3.6000000000000004e-14,2.253878623837137e-15
1830.0,3.6000000000000004e-14,2.4167715720747232e-15
1860.0,3.6000000000000004e-14,2.583410001474632e-15
1890.0,3.6000000000000004e-14,2.7537115434357906e-15
1920.0,3.6000000000000004e-14,2.9275990365579875e-15
1950.0,3.6000000000000004e-14,3.1049999999999998e-15
1980.0,3.6000000000000004e-14,3.2858461785292685e-15
2010.0,3.6000000000000004e-14,3.470073147181638e-15
2040.0,3.6000000000000004e-14,3.657619965848925e-15
2070.0,3.6000000000000004e-14,3.848428875967682e-15
2100.0,3.6000000000000004e-14,4.042445032931961e-15
2130.0,3.6000000000000004e-14,4.239616268995289e-15
2160.0,3.6000000000000004e-14,4.439892882335258e-15
2190.0,3.6000000000000004e-14,4.6432274486817e-15
2220.0,3.6000000000000004e-14,4.849574652496735e-15
2250.0,3.6000000000000004e-14,5.0588911351722015e-15
2280.0,3.6000000000000004e-14,5.2711353581003795e-15
2310.0,3.6000000000000004e-14,5.4862674787951084e-15
2340.0,3.6000000000000004e-14,5.704249238506326e-15
2370.0,3.6000000000000004e-14,5.9250438599921885e-15
2400.0,3.6000000000000004e-14,6.148615954297997e-15
2430.0,3.6000000000000004e-14,6.374931435546573e-15
2460.0,3.6000000000000004e-14,6.6039574428759595e-15
2490.0,3.6000000000000004e-14,6.8356622687716386e-15
2520.0,3.6000000000000004e-14,7.0700152931350765e-15
2550.0,3.6000000000000004e-14,7.306986922511445e-15
2580.0,3.6000000000000004e-14,7.54654853396877e-15
2610.0,3.6000000000000004e-14,7.788672423180487e-15
2640.0,3.6000000000000004e-14,8.033331756315117e-15
2670.0,3.6000000000000004e-14,8.280500525381425e-15
2700.0,3.6000000000000004e-14,8.530153506716346e-15
2730.0,3.6000000000000004e-14,8.78226622233692e-15
2760.0,3.6000000000000004e-14,9.036814903907022e-15
2790.0,3.6000000000000004e-14,9.293776459095794e-15
2820.0,3.6000000000000004e-14,9.553128440127391e-15
2850.0,3.6000000000000004e-14,9.814849014341923e-15
2880.0,3.6000000000000004e-14,1.0078916936605161e-14
2910.0,3.6000000000000004e-14,1.0345311523420335e-14
2940.0,3.6000000000000004e-14,1.0614012628609403e-14
2970.0,3.6000000000000004e-14,1.0885000620443484e-14
3000.0,3.6000000000000004e-14,1.115825636011329e-14
3030.0,3.6000000000000004e-14,1.1433761181440266e-14
3060.0,3.6000000000000004e-14,1.1711496871738026e-14
3090.0,3.6000000000000004e-14,1.1991445653741518e-14
3120.0,3.6000000000000004e-14,1.227359016852852e-14
3150.0,3.6000000000000004e-14,1.2557913459364587e-14
3180.0,3.6000000000000004e-14,1.2844398956408077e-14
3210.0,3.6000000000000004e-14,1.3133030462217367e-14
3240.0,3.6000000000000004e-14,1.3423792138006957e-14
3270.0,3.6000000000000004e-14,1.3716668490603344e-14
3300.0,3.6000000000000004e-14,1.4011644360055626e-14
3330.0,3.6000000000000004e-14,1.43087049078591e-14
3360.0,3.6000000000000004e-14,1.4607835605753433e-14
3390.0,3.6000000000000004e-14,1.4909022225059838e-14
3420.0,3.6000000000000004e-14,1.521225082652439e-14
3450.0,3.6000000000000004e-14,1.5517507750636976e-14
3480.0,3.6000000000000004e-14,1.5824779608397655e-14
3510.0,3.6000000000000004e-14,1.613405327250409e-14
3540.0,3.6000000000000004e-14,1.6445315868935862e-14
3570.0,3.6000000000000004e-14,1.6758554768912775e-14
3600.0,3.6000000000000004e-14,1.7073757581206186e-14
3630.0,3.6000000000000004e-14,1.7390912144783636e-14
3660.0,3.6000000000000004e-14,1.771000652176845e-14
3690.0,3.6000000000000004e-14,1.8031028990697097e-14
3720.0,3.6000000000000004e-14,1.835396804005845e-14
3750.0,3.6000000000000004e-14,1.867881236209985e-14
3780.0,3.6000000000000004e-14,1.9005550846886045e-14
3810.0,3.6000000000000004e-14,1.9334172576597786e-14
3840.0,3.6000000000000004e-14,1.9664666820057982e-14
3870.0,3.6000000000000004e-14,1.9997023027473636e-14
3900.0,3.6000000000000004e-14,2.0331230825382902e-14
3930.0,3.6000000000000004e-14,2.0667280011797058e-14
3960.0,3.6000000000000004e-14,2.1005160551527802e-14
3990.0,3.6000000000000004e-14,2.1344862571690867e-14
4020.0,3.6000000000000004e-14,2.168637635737759e-14
4050.0,3.6000000000000004e-14,2.2029692347486325e-14
4080.0,3.6000000000000004e-14,2.2374801130706275e-14
4110.0,3.6000000000000004e-14,2.272169344164663e-14
4140.0,3.6000000000000004e-14,2.3070360157104282e-14
4170.0,3.6000000000000004e-14,2.34207922924639e-14
4200.0,3.6000000000000004e-14,2.3772980998224264e-14
4230.0,3.6000000000000004e-14,2.4126917556645347e-14
4260.0,3.6000000000000004e-14,2.4482593378510666e-14
4260.0,3.6000000000000004e-14,0.0
4290.0,3.6226063321447354e-14,0.0
4320.0,3.6451157055814293e-14,0.0
4350.0,3.66752755269546e-14,0.0
4380.0,3.689841329069677e-14,0.0
4410.0,3.712056513102643e-14,0.0
4440.0,3.734172605630112e-14,0.0
4470.0,3.75618912954982e-14,0.0
4500.0,3.7781056294496155e-14,0.0
4530.0,3.7903550178129557e-14,0.0
4560.0,3.7903550178129557e-14,0.0
4590.0,3.7903550178129557e-14,0.0
4620.0,3.7903550178129557e-14,0.0
4650.0,3.7903550178129557e-14,0.0
4680.0,3.7903550178129557e-14,0.0
4710.0,3.7903550178129557e-14,0.0
4740.0,3.7903550178129557e-14,0.0
4770.0,3.7903550178129557e-14,0.0
4800.0,3.7903550178129557e-14,0.0
4830.0,3.7903550178129557e-14,0.0
4860.0,3.7903550178129557e-14,0.0
4890.0,3.7903550178129557e-14,0.0
4920.0,3.7903550178129557e-14,0.0
4950.0,3.7903550178129557e-14,0.0
4980.0,3.7903550178129557e-14,0.0
5010.0,3.7903550178129557e-14,0.0
5040.0,3.7903550178129557e-14,0.0
5070.0,3.7903550178129557e-14,0.0
5100.0,3.7903550178129557e-14,0.0
5130.0,3.7903550178129557e-14,0.0
5160.0,3.7903550178129557e-14,0.0
5190.0,3.7903550178129557e-14,0.0
5220.0,3.7903550178129557e-14,0.0
5250.0,3.7903550178129557e-14,0.0
5280.0,3.7903550178129557e-14,0.0
5310.0,3.7903550178129557e-14,0.0
5340.0,3.7903550178129557e-14,0.0
