alpha,cv,misclass
0.400,0.220,0.5467
0.500,0.220,0.4767
0.600,0.220,0.4900
0.700,0.220,0.4667
0.800,0.220,0.3000
0.900,0.220,0.1733
1.000,0.220,0.1000
1.100,0.220,0.0800
1.200,0.220,0.1467
1.300,0.220,0.2433
1.400,0.220,0.5533
1.500,0.220,0.3900
1.600,0.220,0.3300
1.700,0.220,0.6033
1.800,0.220,0.3867
1.900,0.220,0.1867
2.000,0.220,0.0467
0.000,0.240,0.1133
0.100,0.240,0.1400
0.200,0.240,0.2233
0.300,0.240,0.3700
0.400,0.240,0.5367
0.500,0.240,0.4733
0.600,0.240,0.4900
0.700,0.240,0.4667
0.800,0.240,0.3033
0.900,0.240,0.1833
1.000,0.240,0.1000
1.100,0.240,0.0800
1.200,0.240,0.1500
1.300,0.240,0.2533
1.400,0.240,0.5600
1.500,0.240,0.4033
1.600,0.240,0.3333
1.700,0.240,0.6233
1.800,0.240,0.4133
1.900,0.240,0.2133
2.000,0.240,0.0833
0.000,0.260,0.1167
0.100,0.260,0.1467
0.200,0.260,0.2333
0.300,0.260,0.3867
0.400,0.260,0.5333
0.500,0.260,0.4567
0.600,0.260,0.5000
0.700,0.260,0.4667
0.800,0.260,0.2933
0.900,0.260,0.1833
1.000,0.260,0.1067
1.100,0.260,0.0867
1.200,0.260,0.1533
1.300,0.260,0.2533
1.400,0.260,0.5633
1.500,0.260,0.4133
1.600,0.260,0.3400
1.700,0.260,0.6300
1.800,0.260,0.4433
1.900,0.260,0.2500
2.000,0.260,0.1200
0.000,0.280,0.1067
0.100,0.280,0.1500
0.200,0.280,0.2433
0.300,0.280,0.3967
0.400,0.280,0.5300
0.500,0.280,0.4667
0.600,0.280,0.5133
0.700,0.280,0.4500
0.800,0.280,0.2833
0.900,0.280,0.1733
1.000,0.280,0.1033
1.100,0.280,0.0933
1.200,0.280,0.1600
1.300,0.280,0.2600
1.400,0.280,0.5700
1.500,0.280,0.4333
1.600,0.280,0.3500
1.700,0.280,0.6367
1.800,0.280,0.4667
1.900,0.280,0.2800
2.000,0.280,0.1333
0.000,0.300,0.0967
0.100,0.300,0.1567
0.200,0.300,0.2567
0.300,0.300,0.4267
0.400,0.300,0.5267
0.500,0.300,0.4700
0.600,0.300,0.5100
0.700,0.300,0.4400
0.800,0.300,0.2733
0.900,0.300,0.1533
1.000,0.300,0.1000
1.100,0.300,0.0933
1.200,0.300,0.1800
1.300,0.300,0.2700
1.400,0.300,0.5800
1.500,0.300,0.4433
1.600,0.300,0.3733
1.700,0.300,0.6433
1.800,0.300,0.4733
1.900,0.300,0.3100
2.000,0.300,0.1633
