D_crit,kappa,crit_cv
63.2384,0.14140,0.80738
63.2384,0.14140,0.80738
64.6193,0.15412,0.75710
62.7584,0.14884,0.74830
62.7584,0.14884,0.74830
62.7584,0.14884,0.74830
62.7584,0.14884,0.74830
60.3138,0.13976,0.76454
60.3138,0.13976,0.76454
56.0655,0.14621,0.70069
56.0655,0.14621,0.70069
55.2049,0.12866,0.75694
54.3029,0.14233,0.68334
58.2015,0.14924,0.69841
58.2015,0.14924,0.69841
58.2015,0.14924,0.69841
58.2015,0.14924,0.69841
59.1058,0.15235,0.74321
59.5035,0.15013,0.79449
58.1669,0.13642,0.89779
58.1669,0.13642,0.89779
59.1281,0.13649,0.88713
59.1951,0.13145,0.82306
53.8113,0.13884,0.77779
53.8113,0.13884,0.77779
53.8113,0.13884,0.77779
53.8113,0.13884,0.77779
53.8113,0.13884,0.77779
54.0885,0.13199,0.84996
57.3544,0.13356,0.83464
57.3544,0.13356,0.83464
60.3525,0.13540,0.84375
60.3525,0.13540,0.84375
59.5536,0.14167,0.81247
59.5536,0.14167,0.81247
59.5536,0.14167,0.81247
59.5536,0.14167,0.81247
59.5536,0.14167,0.81247
56.8879,0.13835,0.84317
56.8879,0.13835,0.84317
56.8879,0.13835,0.84317
56.8879,0.13835,0.84317
56.8879,0.13835,0.84317
55.5058,0.13316,0.73978
55.5058,0.13316,0.73978
55.5058,0.13316,0.73978
55.5058,0.13316,0.73978
55.5058,0.13316,0.73978
55.5058,0.13316,0.73978
55.5058,0.13316,0.73978
55.5058,0.13316,0.73978
55.5058,0.13316,0.73978
55.5058,0.13316,0.73978
54.3038,0.13063,0.79439
54.3038,0.13063,0.79439
54.3038,0.13063,0.79439
54.3038,0.13063,0.79439
57.6020,0.14054,0.70623
56.5069,0.14231,0.69017
52.5779,0.14165,0.72140
52.5779,0.14165,0.72140
55.6481,0.14807,0.75835
55.6481,0.14807,0.75835
54.9467,0.14695,0.80349
54.4205,0.12584,0.72829
54.4205,0.12584,0.72829
54.1969,0.14252,0.74284
60.4510,0.14773,0.80175
60.4510,0.14773,0.80175
60.4510,0.14773,0.80175
60.4510,0.14773,0.80175
58.9892,0.13542,0.80708
58.9892,0.13542,0.80708
58.9892,0.13542,0.80708
58.9892,0.13542,0.80708
58.9892,0.13542,0.80708
53.8372,0.12820,0.80561
59.9305,0.13522,0.78896
58.2425,0.13593,0.84286
58.2425,0.13593,0.84286
58.2425,0.13593,0.84286
58.2425,0.13593,0.84286
59.1172,0.12743,0.80457
59.1172,0.12743,0.80457
54.8838,0.12659,0.87686
54.8838,0.12659,0.87686
54.8838,0.12659,0.87686
54.8838,0.12659,0.87686
54.8838,0.12659,0.87686
54.3713,0.13148,0.89013
54.3713,0.13148,0.89013
54.3713,0.13148,0.89013
54.3713,0.13148,0.89013
57.4223,0.13352,0.90085
57.4223,0.13352,0.90085
57.4223,0.13352,0.90085
56.4558,0.13865,0.87675
58.7197,0.14054,0.84786
58.7197,0.14054,0.84786
58.7197,0.14054,0.84786
57.3509,0.12233,0.87567
54.3504,0.12632,0.89095
54.3504,0.12632,0.89095
54.3504,0.12632,0.89095
54.3504,0.12632,0.89095
54.3504,0.12632,0.89095
53.3366,0.13155,0.82995
53.3366,0.13155,0.82995
46.6513,0.12701,0.75699
46.9871,0.10949,0.76454
45.4806,0.10474,0.83509
45.4806,0.10474,0.83509
45.4806,0.10474,0.83509
45.4806,0.10474,0.83509
45.4806,0.10474,0.83509
45.4806,0.10474,0.83509
50.0444,0.12627,0.86522
50.0444,0.12627,0.86522
53.2064,0.13655,0.86704
53.2064,0.13655,0.86704
53.2064,0.13655,0.86704
53.2064,0.13655,0.86704
53.5434,0.13098,0.85736
56.8933,0.13512,0.83645
56.8933,0.13512,0.83645
56.8933,0.13512,0.83645
61.9720,0.14463,0.85547
61.9720,0.14463,0.85547
61.9720,0.14463,0.85547
61.9720,0.14463,0.85547
61.9720,0.14463,0.85547
61.9720,0.14463,0.85547
61.9720,0.14463,0.85547
63.3722,0.14176,0.83254
63.3722,0.14176,0.83254
61.6540,0.14049,0.88510
61.6540,0.14049,0.88510
61.6540,0.14049,0.88510
61.6540,0.14049,0.88510
65.7233,0.14675,0.92434
65.7233,0.14675,0.92434
65.7233,0.14675,0.92434
65.7233,0.14675,0.92434
65.7233,0.14675,0.92434
65.7233,0.14675,0.92434
68.4987,0.16154,0.88653
68.4987,0.16154,0.88653
68.4987,0.16154,0.88653
69.3286,0.14981,0.87346
69.3286,0.14981,0.87346
69.3286,0.14981,0.87346
68.8808,0.15200,0.88894
68.8808,0.15200,0.88894
68.8808,0.15200,0.88894
68.8808,0.15200,0.88894
68.8808,0.15200,0.88894
69.9962,0.16459,0.92731
68.0869,0.14524,0.98901
68.0869,0.14524,0.98901
66.7115,0.15004,0.94549
66.7115,0.15004,0.94549
66.7115,0.15004,0.94549
66.7115,0.15004,0.94549
66.7115,0.15004,0.94549
64.4703,0.13941,0.89854
64.4703,0.13941,0.89854
64.4703,0.13941,0.89854
64.4703,0.13941,0.89854
64.4703,0.13941,0.89854
64.4703,0.13941,0.89854
64.4703,0.13941,0.89854
65.9313,0.15139,0.83490
65.9313,0.15139,0.83490
65.9313,0.15139,0.83490
65.7008,0.15322,0.89750
65.7008,0.15322,0.89750
65.7008,0.15322,0.89750
65.7008,0.15322,0.89750
65.7008,0.15322,0.89750
65.5125,0.14791,0.91034
65.5125,0.14791,0.91034
65.5125,0.14791,0.91034
65.5125,0.14791,0.91034
65.5125,0.14791,0.91034
71.6852,0.16054,0.97726
71.6852,0.16054,0.97726
71.6852,0.16054,0.97726
71.6852,0.16054,0.97726
71.6852,0.16054,0.97726
71.6852,0.16054,0.97726
71.6852,0.16054,0.97726
71.6852,0.16054,0.97726
68.8905,0.14677,0.96695
68.8905,0.14677,0.96695
68.8905,0.14677,0.96695
69.6145,0.15946,0.95188
69.6145,0.15946,0.95188
69.6145,0.15946,0.95188
69.6145,0.15946,0.95188
69.6145,0.15946,0.95188
68.2642,0.15548,0.94678
68.2642,0.15548,0.94678
68.2642,0.15548,0.94678
68.2642,0.15548,0.94678
67.9373,0.15272,0.87419
67.9373,0.15272,0.87419
67.9373,0.15272,0.87419
67.9373,0.15272,0.87419
67.9373,0.15272,0.87419
67.9373,0.15272,0.87419
70.2664,0.14221,0.87406
70.2664,0.14221,0.87406
70.2664,0.14221,0.87406
70.2664,0.14221,0.87406
70.2664,0.14221,0.87406
70.2664,0.14221,0.87406
70.2664,0.14221,0.87406
69.8282,0.16284,0.95307
69.8282,0.16284,0.95307
71.6621,0.16625,0.97111
71.6621,0.16625,0.97111
74.4147,0.15856,0.98191
74.4147,0.15856,0.98191
74.4147,0.15856,0.98191
74.4147,0.15856,0.98191
74.4147,0.15856,0.98191
74.4147,0.15856,0.98191
74.4147,0.15856,0.98191
74.4147,0.15856,0.98191
74.1251,0.16934,0.95462
74.1251,0.16934,0.95462
74.4261,0.16752,0.92109
78.4529,0.16051,0.98900
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
78.9875,0.15787,0.99810
79.1131,0.17579,0.86707
79.0313,0.16201,0.81140
79.0313,0.16201,0.81140
79.0313,0.16201,0.81140
79.0313,0.16201,0.81140
79.0313,0.16201,0.81140
78.1718,0.16579,0.69309
78.1718,0.16579,0.69309
75.6433,0.16270,0.69414
73.1070,0.16696,0.74189
73.1070,0.16696,0.74189
76.8055,0.16945,0.71359
76.8055,0.16945,0.71359
76.8055,0.16945,0.71359
76.8055,0.16945,0.71359
76.8055,0.16945,0.71359
74.0639,0.18426,0.74239
72.6544,0.17115,0.82343
73.6613,0.16528,0.84244
75.3668,0.15117,0.94188
75.3668,0.15117,0.94188
75.3668,0.15117,0.94188
75.3668,0.15117,0.94188
75.3668,0.15117,0.94188
75.3668,0.15117,0.94188
75.3668,0.15117,0.94188
75.3668,0.15117,0.94188
75.3668,0.15117,0.94188
71.8762,0.16064,0.92539
71.8762,0.16064,0.92539
71.8762,0.16064,0.92539
71.8762,0.16064,0.92539
71.8762,0.16064,0.92539
71.8762,0.16064,0.92539
71.8762,0.16064,0.92539
72.6646,0.17447,0.88439
72.0741,0.16014,0.88433
72.0741,0.16014,0.88433
72.0741,0.16014,0.88433
72.0741,0.16014,0.88433
72.0741,0.16014,0.88433
74.5106,0.16525,0.89206
74.5106,0.16525,0.89206
74.5106,0.16525,0.89206
74.5106,0.16525,0.89206
74.5106,0.16525,0.89206
74.5106,0.16525,0.89206
74.5106,0.16525,0.89206
76.7216,0.16523,0.90409
76.7216,0.16523,0.90409
76.7216,0.16523,0.90409
76.7216,0.16523,0.90409
76.7216,0.16523,0.90409
75.4283,0.15505,0.82661
75.7111,0.15426,0.83341
74.2479,0.15753,0.82507
70.3683,0.15730,0.82952
70.3683,0.15730,0.82952
70.5821,0.15949,0.86629
70.5821,0.15949,0.86629
70.5821,0.15949,0.86629
70.5821,0.15949,0.86629
70.5821,0.15949,0.86629
70.5821,0.15949,0.86629
70.5821,0.15949,0.86629
70.5821,0.15949,0.86629
70.5821,0.15949,0.86629
70.5821,0.15949,0.86629
70.5821,0.15949,0.86629
74.7346,0.15440,0.92005
74.7346,0.15440,0.92005
74.7346,0.15440,0.92005
74.7346,0.15440,0.92005
74.7346,0.15440,0.92005
74.7346,0.15440,0.92005
75.0582,0.15314,0.93139
75.0582,0.15314,0.93139
75.0582,0.15314,0.93139
75.0582,0.15314,0.93139
75.0582,0.15314,0.93139
75.0582,0.15314,0.93139
75.0582,0.15314,0.93139
71.0115,0.15491,0.89752
71.0115,0.15491,0.89752
69.8111,0.15115,0.87234
66.4372,0.15294,0.89307
66.4372,0.15294,0.89307
61.3989,0.13908,0.90953
61.3989,0.13908,0.90953
61.3989,0.13908,0.90953
61.3989,0.13908,0.90953
61.3989,0.13908,0.90953
61.3989,0.13908,0.90953
61.3989,0.13908,0.90953
61.3989,0.13908,0.90953
61.3989,0.13908,0.90953
61.3989,0.13908,0.90953
61.3989,0.13908,0.90953
61.3989,0.13908,0.90953
59.9484,0.13896,0.89822
60.1337,0.13267,0.87710
54.7409,0.12371,0.80954
54.7409,0.12371,0.80954
54.7409,0.12371,0.80954
54.7409,0.12371,0.80954
54.7409,0.12371,0.80954
53.9717,0.13414,0.78517
53.9717,0.13414,0.78517
53.9717,0.13414,0.78517
53.9717,0.13414,0.78517
53.9717,0.13414,0.78517
54.9468,0.12457,0.84914
54.9468,0.12457,0.84914
54.9468,0.12457,0.84914
55.5699,0.13085,0.79244
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
58.1731,0.13945,0.81604
