x,c,branch
0.001128,1.636648,off
0.001197,1.612226,off
0.001272,1.588167,off
0.001350,1.564465,off
0.001434,1.541115,off
0.001523,1.518111,off
0.001617,1.495449,off
0.001717,1.473123,off
0.001823,1.451128,off
0.001936,1.429459,off
0.002056,1.408111,off
0.002183,1.387079,off
0.002319,1.366359,off
0.002462,1.345946,off
0.002615,1.325834,off
0.002776,1.306020,off
0.002948,1.286499,off
0.003131,1.267266,off
0.003325,1.248317,off
0.003530,1.229648,off
0.003749,1.211254,off
0.003981,1.193131,off
0.004228,1.175275,off
0.004489,1.157682,off
0.004767,1.140348,off
0.005062,1.123268,off
0.005376,1.106439,off
0.005708,1.089856,off
0.006062,1.073517,off
0.006437,1.057417,off
0.006836,1.041552,off
0.007259,1.025919,off
0.007708,1.010513,off
0.008185,0.995332,off
0.008692,0.980372,off
0.009230,0.965629,off
0.009802,0.951099,off
0.010409,0.936780,off
0.011053,0.922667,off
0.011737,0.908758,off
0.012464,0.895049,off
0.013235,0.881537,off
0.014055,0.868218,off
0.014925,0.855089,off
0.015849,0.842147,off
0.016830,0.829389,off
0.017872,0.816811,off
0.018978,0.804411,off
0.020153,0.792185,off
0.021401,0.780131,off
0.022726,0.768244,off
0.024133,0.756524,off
0.025627,0.744965,off
0.027213,0.733566,off
0.028898,0.722324,off
0.030687,0.711235,off
0.032587,0.700297,off
0.034604,0.689508,off
0.036747,0.678864,off
0.039022,0.668364,off
0.041437,0.658004,off
0.044003,0.647783,off
0.046727,0.637698,off
0.049619,0.627748,off
0.050000,0.626492,off
0.051001,0.623243,off
0.052002,0.620071,off
0.052691,0.617931,off
0.053003,0.616973,off
0.054004,0.613946,off
0.055006,0.610987,off
0.055953,0.608246,off
0.056007,0.608094,off
0.057008,0.605263,off
0.058009,0.602492,off
0.059010,0.599780,off
0.059417,0.598692,off
0.060011,0.597123,off
0.061012,0.594521,off
0.062013,0.591970,off
0.063014,0.589470,off
0.063096,0.589269,off
0.064016,0.587019,off
0.065017,0.584614,off
0.066018,0.582254,off
0.067019,0.579939,off
0.068020,0.577666,off
0.069021,0.575434,off
0.070022,0.573242,off
0.071023,0.571089,off
0.072024,0.568973,off
0.073026,0.566894,off
0.074027,0.564850,off
0.075028,0.562840,off
0.076029,0.560864,off
0.077030,0.558920,off
0.078031,0.557008,off
0.079032,0.555127,off
0.080033,0.553276,off
0.081034,0.551454,off
0.082036,0.549661,off
0.083037,0.547895,off
0.084038,0.546157,off
0.085039,0.544445,off
0.086040,0.542758,off
0.087041,0.541098,off
0.088042,0.539461,off
0.089043,0.537849,off
0.090044,0.536261,off
0.091046,0.534695,off
0.092047,0.533152,off
0.093048,0.531631,off
0.094049,0.530132,off
0.095050,0.528654,off
0.096051,0.527197,off
0.097052,0.525761,off
0.098053,0.524344,off
0.099055,0.522947,off
0.100056,0.521569,off
0.101057,0.520210,off
0.102058,0.518870,off
0.103059,0.517548,off
0.104060,0.516244,off
0.105061,0.514957,off
0.106062,0.513688,off
0.107063,0.512436,off
0.108065,0.511200,off
0.109066,0.509982,off
0.110067,0.508779,off
0.111068,0.507593,off
0.112069,0.506422,off
0.113070,0.505267,off
0.114071,0.504127,off
0.115072,0.503002,off
0.116073,0.501893,off
0.117075,0.500797,off
0.118076,0.499717,off
0.119077,0.498651,off
0.120078,0.497599,off
0.121079,0.496561,off
0.122080,0.495536,off
0.123081,0.494526,off
0.124082,0.493529,off
0.125083,0.492545,off
0.126085,0.491575,off
0.127086,0.490617,off
0.128087,0.489673,off
0.129088,0.488741,off
0.130089,0.487822,off
0.131090,0.486916,off
0.132091,0.486021,off
0.133092,0.485140,off
0.134093,0.484270,off
0.135095,0.483413,off
0.136096,0.482567,off
0.137097,0.481734,off
0.138098,0.480912,off
0.139099,0.480102,off
0.140100,0.479304,off
0.141101,0.478517,off
0.142102,0.477741,off
0.143103,0.476977,off
0.144105,0.476225,off
0.145106,0.475483,off
0.146107,0.474753,off
0.147108,0.474033,off
0.148109,0.473325,off
0.149110,0.472628,off
0.150111,0.471941,off
0.151112,0.471266,off
0.152113,0.470601,off
0.153115,0.469947,off
0.154116,0.469304,off
0.155117,0.468671,off
0.156118,0.468049,off
0.157119,0.467437,off
0.158120,0.466836,off
0.159121,0.466245,off
0.160122,0.465665,off
0.161123,0.465095,off
0.162125,0.464535,off
0.163126,0.463986,off
0.164127,0.463447,off
0.165128,0.462919,off
0.166129,0.462400,off
0.167130,0.461892,off
0.168131,0.461394,off
0.169132,0.460906,off
0.170133,0.460428,off
0.171135,0.459960,off
0.172136,0.459503,off
0.173137,0.459055,off
0.174138,0.458618,off
0.175139,0.458190,off
0.176140,0.457773,off
0.177141,0.457366,off
0.178142,0.456968,off
0.179143,0.456581,off
0.180145,0.456204,off
0.181146,0.455836,off
0.182147,0.455479,off
0.183148,0.455131,off
0.184149,0.454794,off
0.185150,0.454466,off
0.186151,0.454149,off
0.187152,0.453841,off
0.188154,0.453544,off
0.189155,0.453256,off
0.190156,0.452978,off
0.191157,0.452711,off
0.192158,0.452453,off
0.193159,0.452205,off
0.194160,0.451968,off
0.195161,0.451740,off
0.196162,0.451522,off
0.197164,0.451315,off
0.198165,0.451117,off
0.199166,0.450929,off
0.200167,0.450752,off
0.201168,0.450584,off
0.202169,0.450427,off
0.203170,0.450279,off
0.204171,0.450142,off
0.205172,0.450015,off
0.206174,0.449898,off
0.207175,0.449791,off
0.208176,0.449695,off
0.209177,0.449608,off
0.210178,0.449532,off
0.211179,0.449466,off
0.212180,0.449410,off
0.213181,0.449365,off
0.214182,0.449330,off
0.215184,0.449305,off
0.216185,0.449290,off
0.217186,0.449286,off
0.218187,0.449292,unstable
0.219188,0.449309,unstable
0.220189,0.449336,unstable
0.221190,0.449373,unstable
0.222191,0.449422,unstable
