regime,Vb_n,Vb_next
sizer,23.6503,22.4548
sizer,22.4548,17.6261
sizer,17.6261,21.0587
sizer,21.0587,19.5383
sizer,19.5383,19.4406
sizer,19.4406,19.1123
sizer,19.1123,20.9539
sizer,20.9539,16.5957
sizer,16.5957,18.0567
sizer,18.0567,22.1198
sizer,22.1198,19.7174
sizer,19.7174,23.9343
sizer,23.9343,16.7926
sizer,16.7926,20.4270
sizer,20.4270,21.3123
sizer,21.3123,20.7883
sizer,20.7883,16.8326
sizer,16.8326,18.8019
sizer,18.8019,20.5677
sizer,20.5677,21.7473
sizer,21.7473,24.1937
sizer,24.1937,21.0187
sizer,21.0187,21.4997
sizer,21.4997,21.5350
sizer,21.5350,21.4758
sizer,21.4758,19.2511
sizer,19.2511,14.8155
sizer,14.8155,22.3693
sizer,22.3693,21.8392
sizer,21.8392,18.2970
sizer,18.2970,20.2069
sizer,20.2069,20.4611
sizer,20.4611,21.6964
sizer,21.6964,21.1903
sizer,21.1903,23.9380
sizer,23.9380,20.1196
sizer,20.1196,24.2893
sizer,24.2893,22.6677
sizer,22.6677,17.6081
sizer,17.6081,18.1992
sizer,18.1992,19.9252
sizer,19.9252,20.6783
sizer,20.6783,21.9041
sizer,21.9041,19.0319
sizer,19.0319,23.5179
sizer,23.5179,16.1521
sizer,16.1521,17.1298
sizer,17.1298,16.1211
sizer,16.1211,19.8669
sizer,19.8669,21.7221
sizer,21.7221,18.2389
sizer,18.2389,23.1306
sizer,23.1306,24.1378
sizer,24.1378,22.1633
sizer,22.1633,14.9455
sizer,14.9455,15.7241
sizer,15.7241,19.2567
sizer,19.2567,22.5919
sizer,22.5919,20.3226
sizer,20.3226,19.8364
sizer,19.8364,19.6958
sizer,19.6958,18.3008
sizer,18.3008,20.9050
sizer,20.9050,18.9091
sizer,18.9091,21.0876
sizer,21.0876,18.7446
sizer,18.7446,19.8953
sizer,19.8953,21.8410
sizer,21.8410,23.3903
sizer,23.3903,20.6793
sizer,20.6793,20.1363
sizer,20.1363,19.0537
sizer,19.0537,15.6353
sizer,15.6353,22.4088
sizer,22.4088,21.4416
sizer,21.4416,16.8808
sizer,16.8808,20.0796
sizer,20.0796,20.9869
sizer,20.9869,19.5610
sizer,19.5610,19.9195
sizer,19.9195,19.0040
sizer,19.0040,22.4052
sizer,22.4052,18.4864
sizer,18.4864,23.1433
sizer,23.1433,17.4407
sizer,17.4407,16.9348
sizer,16.9348,20.1275
sizer,20.1275,15.3580
sizer,15.3580,23.5252
sizer,23.5252,19.5433
sizer,19.5433,20.7619
sizer,20.7619,21.6792
sizer,21.6792,17.9180
sizer,17.9180,22.4443
sizer,22.4443,19.9441
sizer,19.9441,15.6568
sizer,15.6568,21.6726
sizer,21.6726,16.5862
sizer,16.5862,16.8274
sizer,16.8274,17.0450
sizer,17.0450,21.8332
sizer,21.8332,19.0835
sizer,19.0835,18.5603
sizer,18.5603,22.2390
sizer,22.2390,22.6526
sizer,22.6526,15.3181
sizer,15.3181,16.0765
sizer,16.0765,17.6562
sizer,17.6562,22.0316
sizer,22.0316,15.9087
sizer,15.9087,20.0623
sizer,20.0623,22.5330
sizer,22.5330,19.5347
sizer,19.5347,20.5629
sizer,20.5629,19.2626
sizer,19.2626,18.0207
sizer,18.0207,17.9565
sizer,17.9565,21.4715
sizer,21.4715,16.4838
sizer,16.4838,16.7364
sizer,16.7364,21.9648
sizer,21.9648,20.5445
sizer,20.5445,18.6291
sizer,18.6291,24.9614
sizer,24.9614,20.2289
sizer,20.2289,17.2478
sizer,17.2478,19.5109
sizer,19.5109,20.7444
sizer,20.7444,22.0371
sizer,22.0371,18.6487
sizer,18.6487,18.0241
sizer,18.0241,19.5156
sizer,19.5156,22.3945
sizer,22.3945,22.6975
sizer,22.6975,22.7963
sizer,22.7963,22.1925
sizer,22.1925,17.7400
sizer,17.7400,18.7404
sizer,18.7404,19.2927
sizer,19.2927,12.1466
sizer,12.1466,23.8355
sizer,23.8355,20.2197
sizer,20.2197,19.8209
sizer,19.8209,18.0737
sizer,18.0737,17.2379
sizer,17.2379,19.4905
sizer,19.4905,22.6971
sizer,22.6971,18.7155
sizer,18.7155,15.7343
sizer,15.7343,20.8616
sizer,20.8616,20.5780
sizer,20.5780,16.1841
sizer,16.1841,22.1166
sizer,22.1166,17.9748
sizer,17.9748,24.2496
sizer,24.2496,20.5667
sizer,20.5667,20.9551
sizer,20.9551,22.6228
sizer,22.6228,22.0134
sizer,22.0134,22.3587
sizer,22.3587,14.3553
sizer,14.3553,17.9497
sizer,17.9497,19.5325
sizer,19.5325,20.2519
sizer,20.2519,19.9259
sizer,19.9259,17.5715
sizer,17.5715,15.6606
sizer,15.6606,20.9718
sizer,20.9718,19.9695
sizer,19.9695,21.7515
sizer,21.7515,17.1817
