alpha,f,slope,logratio
0.100,0.520,0.1849,-0.2714
0.150,0.520,0.2394,-0.2593
0.200,0.520,0.2933,-0.2468
0.250,0.520,0.3466,-0.2340
0.300,0.520,0.3990,-0.2207
0.350,0.520,0.4504,-0.2071
0.400,0.520,0.5006,-0.1930
0.450,0.520,0.5493,-0.1784
0.500,0.520,0.5963,-0.1634
0.550,0.520,0.6414,-0.1478
0.600,0.520,0.6846,-0.1317
0.650,0.520,0.7256,-0.1149
0.700,0.520,0.7646,-0.0975
0.750,0.520,0.8016,-0.0794
0.800,0.520,0.8370,-0.0605
0.850,0.520,0.8712,-0.0408
0.900,0.520,0.9047,-0.0203
0.950,0.520,0.9384,0.0013
1.000,0.520,0.9728,0.0240
1.050,0.520,1.0087,0.0479
1.100,0.520,1.0467,0.0731
1.150,0.520,1.0874,0.0999
1.200,0.520,1.1309,0.1283
1.250,0.520,1.1775,0.1588
1.300,0.520,1.2271,0.1915
1.350,0.520,1.2794,0.2270
1.400,0.520,1.3341,0.2656
1.450,0.520,1.3908,0.3082
1.500,0.520,1.4488,0.3556
1.550,0.520,1.5077,0.4091
1.600,0.520,1.5665,0.4708
1.650,0.520,1.6246,0.5435
1.700,0.520,1.6809,0.6320
1.750,0.520,1.7349,0.7443
1.800,0.520,1.7867,0.8969
1.850,0.520,1.8388,1.1334
1.900,0.520,1.8928,1.6724
1.950,0.520,1.9477,3.6100
2.000,0.520,1.9943,6.5023
2.050,0.520,2.0411,9.5113
2.100,0.520,2.0894,12.5122
2.150,0.520,2.1390,15.4748
2.200,0.520,2.1894,18.3887
0.000,0.530,0.0747,-0.2863
0.050,0.530,0.1298,-0.2747
0.100,0.530,0.1845,-0.2627
0.150,0.530,0.2388,-0.2503
0.200,0.530,0.2924,-0.2376
0.250,0.530,0.3453,-0.2244
0.300,0.530,0.3972,-0.2109
0.350,0.530,0.4480,-0.1969
0.400,0.530,0.4973,-0.1825
0.450,0.530,0.5452,-0.1676
0.500,0.530,0.5912,-0.1522
0.550,0.530,0.6352,-0.1362
0.600,0.530,0.6772,-0.1196
0.650,0.530,0.7171,-0.1023
0.700,0.530,0.7550,-0.0844
0.750,0.530,0.7912,-0.0658
0.800,0.530,0.8260,-0.0463
0.850,0.530,0.8600,-0.0259
0.900,0.530,0.8938,-0.0046
0.950,0.530,0.9281,0.0178
1.000,0.530,0.9637,0.0413
1.050,0.530,1.0011,0.0662
1.100,0.530,1.0410,0.0925
1.150,0.530,1.0837,0.1205
1.200,0.530,1.1293,0.1504
1.250,0.530,1.1779,0.1825
1.300,0.530,1.2293,0.2172
1.350,0.530,1.2832,0.2549
1.400,0.530,1.3392,0.2963
1.450,0.530,1.3968,0.3422
1.500,0.530,1.4554,0.3939
1.550,0.530,1.5142,0.4530
1.600,0.530,1.5726,0.5223
1.650,0.530,1.6296,0.6057
1.700,0.530,1.6843,0.7103
1.750,0.530,1.7367,0.8492
1.800,0.530,1.7882,1.0545
1.850,0.530,1.8417,1.4531
1.900,0.530,1.8975,2.9278
1.950,0.530,1.9454,5.7657
2.000,0.530,1.9918,8.8231
2.050,0.530,2.0398,11.8871
2.100,0.530,2.0892,14.9154
2.150,0.530,2.1395,17.8945
2.200,0.530,2.1903,20.8195
0.000,0.540,0.0746,-0.2782
0.050,0.540,0.1295,-0.2663
0.100,0.540,0.1841,-0.2541
0.150,0.540,0.2380,-0.2415
0.200,0.540,0.2913,-0.2285
0.250,0.540,0.3438,-0.2151
0.300,0.540,0.3951,-0.2012
0.350,0.540,0.4452,-0.1869
0.400,0.540,0.4938,-0.1722
0.450,0.540,0.5407,-0.1569
0.500,0.540,0.5857,-0.1411
0.550,0.540,0.6287,-0.1247
0.600,0.540,0.6696,-0.1076
0.650,0.540,0.7084,-0.0899
0.700,0.540,0.7455,-0.0715
0.750,0.540,0.7810,-0.0522
0.800,0.540,0.8155,-0.0321
0.850,0.540,0.8495,-0.0111
0.900,0.540,0.8838,0.0110
0.950,0.540,0.9191,0.0342
1.000,0.540,0.9560,0.0587
1.050,0.540,0.9952,0.0845
1.100,0.540,1.0369,0.1120
1.150,0.540,1.0815,0.1414
1.200,0.540,1.1291,0.1728
1.250,0.540,1.1795,0.2066
1.300,0.540,1.2325,0.2434
1.350,0.540,1.2877,0.2836
1.400,0.540,1.3447,0.3280
1.450,0.540,1.4029,0.3778
1.500,0.540,1.4617,0.4344
1.550,0.540,1.5203,0.5002
1.600,0.540,1.5778,0.5787
1.650,0.540,1.6334,0.6758
1.700,0.540,1.6865,0.8022
1.750,0.540,1.7379,0.9817
1.800,0.540,1.7906,1.2907
1.850,0.540,1.8459,2.2761
1.900,0.540,1.8965,4.9262
1.950,0.540,1.9428,8.0191
2.000,0.540,1.9903,11.1451
2.050,0.540,2.0394,14.2405
2.100,0.540,2.0896,17.2870
2.150,0.540,2.1403,20.2780
2.200,0.540,2.1914,23.2113
0.000,0.550,0.0744,-0.2703
0.050,0.550,0.1292,-0.2581
0.100,0.550,0.1835,-0.2457
0.150,0.550,0.2372,-0.2328
0.200,0.550,0.2901,-0.2195
0.250,0.550,0.3420,-0.2058
0.300,0.550,0.3928,-0.1917
0.350,0.550,0.4422,-0.1771
0.400,0.550,0.4899,-0.1620
0.450,0.550,0.5359,-0.1463
0.500,0.550,0.5799,-0.1301
0.550,0.550,0.6218,-0.1133
0.600,0.550,0.6617,-0.0958
0.650,0.550,0.6997,-0.0776
0.700,0.550,0.7360,-0.0586
0.750,0.550,0.7711,-0.0388
0.800,0.550,0.8055,-0.0180
0.850,0.550,0.8399,0.0037
0.900,0.550,0.8749,0.0265
0.950,0.550,0.9114,0.0506
1.000,0.550,0.9498,0.0760
1.050,0.550,0.9906,0.1030
1.100,0.550,1.0342,0.1317
1.150,0.550,1.0807,0.1624
1.200,0.550,1.1300,0.1955
1.250,0.550,1.1820,0.2312
1.300,0.550,1.2363,0.2702
1.350,0.550,1.2926,0.3132
1.400,0.550,1.3503,0.3610
1.450,0.550,1.4089,0.4152
1.500,0.550,1.4676,0.4776
1.550,0.550,1.5256,0.5514
1.600,0.550,1.5820,0.6415
1.650,0.550,1.6360,0.7565
1.700,0.550,1.6877,0.9143
1.750,0.550,1.7396,1.1638
1.800,0.550,1.7936,1.7770
1.850,0.550,1.8476,4.0021
1.900,0.550,1.8939,7.1010
1.950,0.550,1.9410,10.2855
2.000,0.550,1.9897,13.4489
2.050,0.550,2.0396,16.5649
2.100,0.550,2.0903,19.6244
2.150,0.550,2.1413,22.6244
2.200,0.550,2.1924,25.5642
0.000,0.560,0.0742,-0.2624
0.050,0.560,0.1288,-0.2501
0.100,0.560,0.1828,-0.2374
0.150,0.560,0.2362,-0.2242
0.200,0.560,0.2887,-0.2107
0.250,0.560,0.3401,-0.1967
0.300,0.560,0.3902,-0.1823
0.350,0.560,0.4389,-0.1674
0.400,0.560,0.4858,-0.1519
0.450,0.560,0.5308,-0.1359
0.500,0.560,0.5738,-0.1193
0.550,0.560,0.6148,-0.1020
0.600,0.560,0.6538,-0.0840
0.650,0.560,0.6910,-0.0653
0.700,0.560,0.7268,-0.0458
0.750,0.560,0.7616,-0.0254
0.800,0.560,0.7962,-0.0040
0.850,0.560,0.8311,0.0185
0.900,0.560,0.8671,0.0421
0.950,0.560,0.9049,0.0671
1.000,0.560,0.9448,0.0935
1.050,0.560,0.9873,0.1216
1.100,0.560,1.0327,0.1516
1.150,0.560,1.0809,0.1838
1.200,0.560,1.1318,0.2185
1.250,0.560,1.1851,0.2563
1.300,0.560,1.2406,0.2978
1.350,0.560,1.2977,0.3438
1.400,0.560,1.3559,0.3955
1.450,0.560,1.4146,0.4547
1.500,0.560,1.4730,0.5240
1.550,0.560,1.5302,0.6075
1.600,0.560,1.5851,0.7123
1.650,0.560,1.6376,0.8520
1.700,0.560,1.6889,1.0591
1.750,0.560,1.7421,1.4649
1.800,0.560,1.7978,3.0448
1.850,0.560,1.8453,6.0735
1.900,0.560,1.8919,9.3082
1.950,0.560,1.9401,12.5396
2.000,0.560,1.9898,15.7268
2.050,0.560,2.0403,18.8573
2.100,0.560,2.0912,21.9266
2.150,0.560,2.1423,24.9335
2.200,0.560,2.1935,27.8784
0.000,0.570,0.0738,-0.2548
0.050,0.570,0.1282,-0.2422
0.100,0.570,0.1820,-0.2292
0.150,0.570,0.2350,-0.2158
0.200,0.570,0.2871,-0.2020
0.250,0.570,0.3379,-0.1878
0.300,0.570,0.3874,-0.1730
0.350,0.570,0.4353,-0.1578
0.400,0.570,0.4814,-0.1420
0.450,0.570,0.5255,-0.1256
0.500,0.570,0.5676,-0.1085
0.550,0.570,0.6076,-0.0908
0.600,0.570,0.6458,-0.0724
0.650,0.570,0.6824,-0.0532
0.700,0.570,0.7179,-0.0331
0.750,0.570,0.7527,-0.0121
0.800,0.570,0.7877,0.0100
0.850,0.570,0.8234,0.0332
0.900,0.570,0.8605,0.0577
0.950,0.570,0.8995,0.0835
1.000,0.570,0.9411,0.1110
1.050,0.570,0.9852,0.1403
1.100,0.570,1.0322,0.1716
1.150,0.570,1.0820,0.2054
1.200,0.570,1.1342,0.2420
1.250,0.570,1.1888,0.2820
1.300,0.570,1.2452,0.3262
1.350,0.570,1.3029,0.3756
1.400,0.570,1.3615,0.4318
1.450,0.570,1.4200,0.4968
1.500,0.570,1.4778,0.5743
1.550,0.570,1.5338,0.6700
1.600,0.570,1.5872,0.7942
1.650,0.570,1.6385,0.9696
1.700,0.570,1.6908,1.2669
1.750,0.570,1.7457,2.1968
1.800,0.570,1.7967,4.9486
1.850,0.570,1.8430,8.2142
1.900,0.570,1.8907,11.5113
1.950,0.570,1.9399,14.7713
2.000,0.570,1.9902,17.9751
2.050,0.570,2.0411,21.1164
2.100,0.570,2.0922,24.1932
2.150,0.570,2.1433,27.2057
2.200,0.570,2.1945,30.1547
0.000,0.580,0.0734,-0.2472
0.050,0.580,0.1276,-0.2344
0.100,0.580,0.1811,-0.2212
0.150,0.580,0.2337,-0.2076
0.200,0.580,0.2853,-0.1935
0.250,0.580,0.3356,-0.1790
0.300,0.580,0.3844,-0.1639
0.350,0.580,0.4315,-0.1483
0.400,0.580,0.4767,-0.1322
0.450,0.580,0.5200,-0.1154
0.500,0.580,0.5612,-0.0979
0.550,0.580,0.6004,-0.0798
0.600,0.580,0.6379,-0.0609
0.650,0.580,0.6741,-0.0411
0.700,0.580,0.7094,-0.0205
0.750,0.580,0.7445,0.0012
0.800,0.580,0.7799,0.0239
0.850,0.580,0.8165,0.0479
0.900,0.580,0.8548,0.0732
0.950,0.580,0.8953,0.1001
1.000,0.580,0.9384,0.1286
1.050,0.580,0.9841,0.1591
1.100,0.580,1.0327,0.1919
1.150,0.580,1.0838,0.2274
1.200,0.580,1.1373,0.2660
1.250,0.580,1.1928,0.3084
1.300,0.580,1.2499,0.3556
1.350,0.580,1.3081,0.4088
1.400,0.580,1.3667,0.4700
1.450,0.580,1.4249,0.5420
1.500,0.580,1.4818,0.6295
1.550,0.580,1.5364,0.7405
1.600,0.580,1.5884,0.8914
1.650,0.580,1.6397,1.1243
1.700,0.580,1.6932,1.6489
1.750,0.580,1.7479,3.7601
1.800,0.580,1.7944,7.0069
1.850,0.580,1.8414,10.3636
1.900,0.580,1.8902,13.6967
1.950,0.580,1.9402,16.9760
2.000,0.580,1.9910,20.1920
2.050,0.580,2.0420,23.3417
2.100,0.580,2.0932,26.4245
2.150,0.580,2.1443,29.4414
2.200,0.580,2.1955,32.3938
0.000,0.590,0.0730,-0.2398
0.050,0.590,0.1269,-0.2268
0.100,0.590,0.1801,-0.2133
0.150,0.590,0.2323,-0.1994
0.200,0.590,0.2834,-0.1851
0.250,0.590,0.3331,-0.1703
0.300,0.590,0.3812,-0.1549
0.350,0.590,0.4275,-0.1390
0.400,0.590,0.4719,-0.1225
0.450,0.590,0.5143,-0.1053
0.500,0.590,0.5547,-0.0874
0.550,0.590,0.5932,-0.0688
0.600,0.590,0.6302,-0.0494
0.650,0.590,0.6661,-0.0291
0.700,0.590,0.7014,-0.0079
0.750,0.590,0.7369,0.0144
0.800,0.590,0.7731,0.0379
0.850,0.590,0.8107,0.0626
0.900,0.590,0.8502,0.0888
0.950,0.590,0.8921,0.1166
1.000,0.590,0.9367,0.1463
1.050,0.590,0.9839,0.1781
1.100,0.590,1.0338,0.2124
1.150,0.590,1.0862,0.2497
1.200,0.590,1.1407,0.2904
1.250,0.590,1.1971,0.3355
1.300,0.590,1.2548,0.3860
1.350,0.590,1.3132,0.4436
1.400,0.590,1.3717,0.5106
1.450,0.590,1.4292,0.5908
1.500,0.590,1.4850,0.6907
1.550,0.590,1.5380,0.8220
1.600,0.590,1.5892,1.0120
1.650,0.590,1.6417,1.3549
1.700,0.590,1.6972,2.6221
1.750,0.590,1.7460,5.6958
1.800,0.590,1.7925,9.0968
1.850,0.590,1.8406,12.5016
1.900,0.590,1.8903,15.8582
1.950,0.590,1.9408,19.1516
2.000,0.590,1.9918,22.3769
2.050,0.590,2.0429,25.5331
2.100,0.590,2.0941,28.6208
2.150,0.590,2.1453,31.6413
2.200,0.590,2.1964,34.5966
0.000,0.600,0.0724,-0.2325
0.050,0.600,0.1261,-0.2192
0.100,0.600,0.1789,-0.2056
0.150,0.600,0.2307,-0.1914
0.200,0.600,0.2813,-0.1768
0.250,0.600,0.3304,-0.1617
0.300,0.600,0.3778,-0.1460
0.350,0.600,0.4234,-0.1297
0.400,0.600,0.4669,-0.1129
0.450,0.600,0.5085,-0.0953
0.500,0.600,0.5482,-0.0770
0.550,0.600,0.5861,-0.0580
0.600,0.600,0.6227,-0.0381
0.650,0.600,0.6585,-0.0173
0.700,0.600,0.6940,0.0046
0.750,0.600,0.7300,0.0275
0.800,0.600,0.7670,0.0517
0.850,0.600,0.8057,0.0773
0.900,0.600,0.8465,0.1044
0.950,0.600,0.8898,0.1333
1.000,0.600,0.9358,0.1641
1.050,0.600,0.9844,0.1973
1.100,0.600,1.0355,0.2333
1.150,0.600,1.0890,0.2724
1.200,0.600,1.1445,0.3155
1.250,0.600,1.2015,0.3635
1.300,0.600,1.2596,0.4177
1.350,0.600,1.3181,0.4802
1.400,0.600,1.3762,0.5540
1.450,0.600,1.4329,0.6442
1.500,0.600,1.4872,0.7597
1.550,0.600,1.5390,0.9188
1.600,0.600,1.5904,1.1721
1.650,0.600,1.6442,1.8148
1.700,0.600,1.6976,4.3081
1.750,0.600,1.7438,7.7137
1.800,0.600,1.7913,11.1850
1.850,0.600,1.8404,14.6196
1.900,0.600,1.8907,17.9929
1.950,0.600,1.9416,21.2969
2.000,0.600,1.9927,24.5296
2.050,0.600,2.0439,27.6911
2.100,0.600,2.0950,30.7827
2.150,0.600,2.1462,33.8063
2.200,0.600,2.1972,36.7640
0.000,0.610,0.0718,-0.2253
0.050,0.610,0.1252,-0.2118
0.100,0.610,0.1776,-0.1979
0.150,0.610,0.2290,-0.1835
0.200,0.610,0.2790,-0.1686
0.250,0.610,0.3275,-0.1532
0.300,0.610,0.3742,-0.1372
0.350,0.610,0.4190,-0.1206
0.400,0.610,0.4618,-0.1034
0.450,0.610,0.5027,-0.0854
0.500,0.610,0.5417,-0.0667
0.550,0.610,0.5792,-0.0472
0.600,0.610,0.6155,-0.0268
0.650,0.610,0.6513,-0.0054
0.700,0.610,0.6872,0.0170
0.750,0.610,0.7238,0.0406
0.800,0.610,0.7618,0.0656
0.850,0.610,0.8016,0.0920
0.900,0.610,0.8437,0.1201
0.950,0.610,0.8883,0.1500
1.000,0.610,0.9356,0.1821
1.050,0.610,0.9855,0.2168
1.100,0.610,1.0378,0.2544
1.150,0.610,1.0922,0.2956
1.200,0.610,1.1484,0.3412
1.250,0.610,1.2059,0.3924
1.300,0.610,1.2642,0.4508
1.350,0.610,1.3226,0.5189
1.400,0.610,1.3801,0.6008
1.450,0.610,1.4357,0.7032
1.500,0.610,1.4887,0.8391
1.550,0.610,1.5397,1.0387
1.600,0.610,1.5923,1.4158
1.650,0.610,1.6478,2.9418
1.700,0.610,1.6955,6.2228
1.750,0.610,1.7423,9.7469
1.800,0.610,1.7908,13.2585
1.850,0.610,1.8407,16.7136
1.900,0.610,1.8914,20.0993
1.950,0.610,1.9424,23.4117
2.000,0.610,1.9936,26.6503
2.050,0.610,2.0448,29.8162
2.100,0.610,2.0959,32.9110
2.150,0.610,2.1470,35.9372
2.200,0.610,2.1980,38.8969
0.000,0.620,0.0711,-0.2182
0.050,0.620,0.1242,-0.2045
0.100,0.620,0.1763,-0.1904
0.150,0.620,0.2272,-0.1757
0.200,0.620,0.2767,-0.1606
0.250,0.620,0.3245,-0.1449
0.300,0.620,0.3705,-0.1286
0.350,0.620,0.4146,-0.1116
0.400,0.620,0.4567,-0.0940
0.450,0.620,0.4968,-0.0757
0.500,0.620,0.5353,-0.0565
0.550,0.620,0.5724,-0.0365
0.600,0.620,0.6087,-0.0156
0.650,0.620,0.6447,0.0063
0.700,0.620,0.6810,0.0294
0.750,0.620,0.7184,0.0537
0.800,0.620,0.7573,0.0794
0.850,0.620,0.7983,0.1067
0.900,0.620,0.8416,0.1357
0.950,0.620,0.8876,0.1668
1.000,0.620,0.9361,0.2002
1.050,0.620,0.9871,0.2364
1.100,0.620,1.0403,0.2759
1.150,0.620,1.0956,0.3193
1.200,0.620,1.1524,0.3677
1.250,0.620,1.2103,0.4224
1.300,0.620,1.2687,0.4855
1.350,0.620,1.3268,0.5602
1.400,0.620,1.3835,0.6518
1.450,0.620,1.4378,0.7695
1.500,0.620,1.4895,0.9331
1.550,0.620,1.5408,1.1979
1.600,0.620,1.5948,1.9199
1.650,0.620,1.6473,4.6505
1.700,0.620,1.6936,8.1897
1.750,0.620,1.7413,11.7735
1.800,0.620,1.7907,15.3115
1.850,0.620,1.8412,18.7815
1.900,0.620,1.8921,22.1769
1.950,0.620,1.9433,25.4959
2.000,0.620,1.9944,28.7394
2.050,0.620,2.0456,31.9088
2.100,0.620,2.0967,35.0065
2.150,0.620,2.1478,38.0347
2.200,0.620,2.1988,40.9962
