regime,Vb
sizer,18.3213
sizer,19.7816
sizer,20.1585
sizer,19.0289
sizer,17.1295
sizer,19.0258
sizer,22.2331
sizer,20.7430
sizer,19.3087
sizer,16.3746
sizer,21.0555
sizer,19.0936
sizer,20.1877
sizer,18.3961
sizer,18.0792
sizer,22.3479
sizer,23.9436
sizer,18.2584
sizer,17.8491
sizer,17.1399
sizer,17.5243
sizer,20.7385
sizer,21.9650
sizer,22.9884
sizer,21.6006
sizer,19.3085
sizer,23.2321
sizer,18.0600
sizer,22.9595
sizer,20.1793
sizer,23.0436
sizer,17.2606
sizer,24.4237
sizer,20.5437
sizer,19.5945
sizer,19.7191
sizer,24.8679
sizer,17.9892
sizer,21.7309
sizer,22.0119
sizer,22.3129
sizer,17.7941
sizer,16.9018
sizer,24.2936
sizer,17.5502
sizer,20.1497
sizer,20.5549
sizer,22.5894
sizer,19.0062
sizer,16.2577
sizer,20.6560
sizer,22.6460
sizer,20.5651
sizer,22.5089
sizer,21.3409
sizer,22.3063
sizer,15.2746
sizer,21.6658
sizer,20.1179
sizer,19.7004
sizer,24.3521
sizer,19.1628
sizer,15.8910
sizer,20.6769
sizer,21.0170
sizer,21.6014
sizer,19.2293
sizer,19.8369
sizer,20.2258
sizer,20.8641
sizer,18.3535
sizer,20.8216
sizer,19.4736
sizer,22.3906
sizer,18.8102
sizer,17.2687
sizer,20.5697
sizer,18.1214
sizer,23.7214
sizer,18.7855
sizer,17.1761
sizer,20.9592
sizer,17.4675
sizer,17.8459
sizer,15.9848
sizer,22.0049
sizer,15.2215
sizer,17.1841
sizer,18.9663
sizer,19.3366
sizer,16.3403
sizer,17.1207
sizer,17.8649
sizer,21.4728
sizer,19.8807
sizer,19.0391
sizer,18.8476
sizer,17.2162
sizer,17.5093
sizer,18.1043
sizer,23.2716
sizer,18.7704
sizer,23.5097
sizer,17.0853
sizer,23.6962
sizer,16.4562
sizer,21.6960
sizer,20.6578
sizer,23.3668
sizer,26.8451
sizer,19.7630
sizer,19.3847
sizer,16.9788
sizer,17.9055
sizer,22.3726
sizer,16.6974
sizer,19.2064
sizer,22.6206
sizer,21.4479
sizer,16.5817
sizer,19.8237
sizer,19.4479
sizer,23.3374
sizer,18.7488
sizer,21.7002
sizer,19.0066
sizer,22.1934
sizer,19.2976
sizer,18.6343
sizer,17.6231
sizer,19.0769
sizer,26.0282
sizer,15.0497
sizer,22.2130
sizer,18.9030
sizer,21.7351
sizer,16.3429
sizer,21.9038
sizer,19.6974
sizer,19.8980
sizer,19.9127
sizer,19.7446
sizer,19.6411
sizer,24.9180
sizer,17.1776
sizer,22.8593
sizer,16.3555
sizer,20.3860
sizer,16.5424
sizer,18.4948
sizer,21.0698
sizer,21.6528
sizer,20.1135
sizer,20.8220
sizer,20.5285
sizer,20.7486
sizer,20.4370
sizer,22.7348
sizer,21.4107
sizer,21.2429
sizer,18.7842
sizer,19.8845
sizer,22.3012
sizer,20.1059
sizer,16.1285
sizer,18.1464
sizer,19.6496
sizer,21.9020
sizer,23.8407
sizer,23.6331
sizer,19.6331
sizer,26.6466
sizer,22.2531
sizer,23.0277
sizer,20.6352
sizer,21.4977
sizer,18.2346
sizer,15.8619
sizer,17.1296
sizer,19.6793
sizer,21.1567
