D_crit,kappa,mean_rls,cv_rls
48.0,0.11,29.443,0.2725
48.0,0.115,28.733,0.2693
48.0,0.12,28.069,0.2657
48.0,0.125,27.438,0.2629
48.0,0.13,26.838,0.2599
48.0,0.135,26.274,0.2573
48.0,0.14,25.744,0.2546
48.0,0.145,25.236,0.2523
48.0,0.15,24.744,0.2498
48.0,0.155,24.285,0.2472
48.0,0.16,23.843,0.2452
48.0,0.165,23.424,0.2429
48.0,0.17,23.014,0.2409
48.0,0.175,22.63,0.2387
48.0,0.18,22.263,0.2371
