regime,slope,Vb,Vd
timer,1.8951892223432745,20.0,39.34280599158667
timer,1.8951892223432745,19.671402995793336,43.87538788166495
timer,1.8951892223432745,21.937693940832474,39.878846078398446
timer,1.8951892223432745,19.939423039199223,33.47215343768284
timer,1.8951892223432745,16.73607671884142,24.570646731563254
timer,1.8951892223432745,12.285323365781627,27.66066004208724
timer,1.8951892223432745,13.83033002104362,30.43488332686946
timer,1.8951892223432745,15.21744166343473,30.19346211109851
timer,1.8951892223432745,15.096731055549254,31.123015302442496
timer,1.8951892223432745,15.561507651221248,28.757736918583973
timer,1.8951892223432745,14.378868459291986,30.100284183170096
timer,1.8951892223432745,15.050142091585048,37.7035254353051
timer,1.8951892223432745,18.85176271765255,40.05509933004375
timer,1.8951892223432745,20.027549665021876,53.05279315723528
timer,1.8951892223432745,26.52639657861764,42.453843191647266
timer,1.8951892223432745,21.226921595823633,29.96735451433678
timer,1.8951892223432745,14.98367725716839,34.80576136151998
timer,1.8951892223432745,17.40288068075999,28.241684943920063
timer,1.8951892223432745,14.120842471960032,28.79590396365883
timer,1.8951892223432745,14.397951981829415,28.18748375232908
timer,1.8951892223432745,14.09374187616454,21.13171762611524
timer,1.8951892223432745,10.56585881305762,23.551195059255736
timer,1.8951892223432745,11.775597529627868,18.42337945530331
timer,1.8951892223432745,9.211689727651654,14.026740050340678
timer,1.8951892223432745,7.013370025170339,17.995563849629825
timer,1.8951892223432745,8.997781924814912,16.869306724681394
timer,1.8951892223432745,8.434653362340697,17.684229850700785
timer,1.8951892223432745,8.842114925350392,14.70155481814919
timer,1.8951892223432745,7.350777409074595,15.77613362523578
timer,1.8951892223432745,7.88806681261789,16.490238497063885
timer,1.8951892223432745,8.245119248531942,16.690608845203826
timer,1.8951892223432745,8.345304422601913,13.233331569192371
timer,1.8951892223432745,6.616665784596186,14.74077667234569
timer,1.8951892223432745,7.370388336172845,13.943053499087624
timer,1.8951892223432745,6.971526749543812,13.726501869338408
timer,1.8951892223432745,6.863250934669204,11.987470938164803
timer,1.8951892223432745,5.993735469082401,13.685749914231229
timer,1.8951892223432745,6.842874957115614,12.405283745382862
timer,1.8951892223432745,6.202641872691431,14.540018673032964
timer,1.8951892223432745,7.270009336516482,10.338309889196774
timer,1.8951892223432745,5.169154944598387,11.827151822805952
timer,1.8951892223432745,5.913575911402976,11.583592849356524
timer,1.8951892223432745,5.791796424678262,10.26583669583492
timer,1.8951892223432745,5.13291834791746,11.468602407896533
timer,1.8951892223432745,5.734301203948267,10.177609548168299
timer,1.8951892223432745,5.088804774084149,12.233312196374259
timer,1.8951892223432745,6.116656098187129,12.513177992903321
timer,1.8951892223432745,6.256588996451661,12.204851118959937
timer,1.8951892223432745,6.102425559479968,11.65691513004618
timer,1.8951892223432745,5.82845756502309,7.94601319817921
timer,1.8951892223432745,3.973006599089605,8.41053412951188
timer,1.8951892223432745,4.20526706475594,8.082015530903908
timer,1.8951892223432745,4.041007765451954,9.544287122939245
timer,1.8951892223432745,4.772143561469623,9.555533531935508
timer,1.8951892223432745,4.777766765967754,8.805388494682711
timer,1.8951892223432745,4.402694247341356,9.180246129446765
timer,1.8951892223432745,4.590123064723382,10.982785856109633
timer,1.8951892223432745,5.491392928054816,11.940909745149442
timer,1.8951892223432745,5.970454872574721,11.909198994363743
timer,1.8951892223432745,5.954599497181872,10.678029747449553
timer,1.8951892223432745,5.339014873724777,10.067829509315953
timer,1.8951892223432745,5.033914754657976,12.010641491617713
timer,1.8951892223432745,6.005320745808857,12.399385567015438
timer,1.8951892223432745,6.199692783507719,15.467974049940002
timer,1.8951892223432745,7.733987024970001,14.179674095091633
timer,1.8951892223432745,7.089837047545816,12.105501682729091
timer,1.8951892223432745,6.052750841364546,11.062468389105833
timer,1.8951892223432745,5.531234194552916,10.099664657468892
timer,1.8951892223432745,5.049832328734446,8.842942158756502
timer,1.8951892223432745,4.421471079378251,9.027722184302538
timer,1.8951892223432745,4.513861092151269,7.536862823330813
timer,1.8951892223432745,3.7684314116654063,8.373788511657374
timer,1.8951892223432745,4.186894255828687,8.782365447563079
timer,1.8951892223432745,4.391182723781539,9.604877158391327
timer,1.8951892223432745,4.802438579195663,11.254286886287387
timer,1.8951892223432745,5.6271434431436935,10.831709203344587
timer,1.8951892223432745,5.415854601672294,10.459437873627575
timer,1.8951892223432745,5.2297189368137875,10.54994236744137
timer,1.8951892223432745,5.274971183720685,10.370511015057874
timer,1.8951892223432745,5.185255507528937,9.817953215870284
timer,1.8951892223432745,4.908976607935142,9.764757547127909
timer,1.8951892223432745,4.882378773563954,9.208105573333196
timer,1.8951892223432745,4.604052786666598,11.09276784384216
timer,1.8951892223432745,5.54638392192108,11.365512331418298
timer,1.8951892223432745,5.682756165709149,10.658044844601697
timer,1.8951892223432745,5.329022422300849,11.201322024933198
timer,1.8951892223432745,5.600661012466599,10.607092736650602
timer,1.8951892223432745,5.303546368325301,10.274921981288271
timer,1.8951892223432745,5.1374609906441355,12.308182999390063
timer,1.8951892223432745,6.154091499695031,11.854284081201735
timer,1.8951892223432745,5.9271420406008675,13.222091056599965
timer,1.8951892223432745,6.611045528299982,11.929641002031666
timer,1.8951892223432745,5.964820501015833,11.96917668667237
timer,1.8951892223432745,5.984588343336185,11.607753833821695
timer,1.8951892223432745,5.8038769169108475,12.317741562948815
timer,1.8951892223432745,6.158870781474407,10.284965068643265
timer,1.8951892223432745,5.1424825343216325,9.884566888442167
timer,1.8951892223432745,4.942283444221084,10.36604344684094
timer,1.8951892223432745,5.18302172342047,11.607118045434314
timer,1.8951892223432745,5.803559022717157,13.371740668676141
timer,1.8951892223432745,6.6858703343380705,16.843113668125586
timer,1.8951892223432745,8.421556834062793,14.231526728990389
timer,1.8951892223432745,7.115763364495194,15.023723978743279
timer,1.8951892223432745,7.511861989371639,15.311859125779815
timer,1.8951892223432745,7.655929562889908,18.55574556964203
timer,1.8951892223432745,9.277872784821016,19.572431006463038
timer,1.8951892223432745,9.786215503231519,16.921612772800064
timer,1.8951892223432745,8.460806386400032,15.890336305108269
timer,1.8951892223432745,7.9451681525541344,14.218691947981236
timer,1.8951892223432745,7.109345973990618,14.924221981388113
timer,1.8951892223432745,7.462110990694057,14.347110866845872
timer,1.8951892223432745,7.173555433422936,14.48030438000659
timer,1.8951892223432745,7.240152190003295,14.616760109912978
timer,1.8951892223432745,7.308380054956489,14.342355251628536
timer,1.8951892223432745,7.171177625814268,11.723338545843607
timer,1.8951892223432745,5.861669272921803,12.475026204816693
timer,1.8951892223432745,6.2375131024083466,11.26946594412384
timer,1.8951892223432745,5.63473297206192,12.444270285377605
timer,1.8951892223432745,6.222135142688803,14.475569309826398
timer,1.8951892223432745,7.237784654913199,10.885036166695627
timer,1.8951892223432745,5.442518083347814,9.509243095690076
timer,1.8951892223432745,4.754621547845038,8.06333218191554
timer,1.8951892223432745,4.03166609095777,7.562600165287524
timer,1.8951892223432745,3.781300082643762,7.728158310729375
timer,1.8951892223432745,3.8640791553646876,7.420716526643067
timer,1.8951892223432745,3.7103582633215333,7.255302785148801
timer,1.8951892223432745,3.6276513925744003,7.246548132860612
timer,1.8951892223432745,3.623274066430306,6.655651896095887
timer,1.8951892223432745,3.3278259480479435,7.3195538434300245
timer,1.8951892223432745,3.6597769217150122,5.523149309876941
timer,1.8951892223432745,2.7615746549384705,5.283608862070263
timer,1.8951892223432745,2.6418044310351316,4.969100315911807
timer,1.8951892223432745,2.4845501579559035,5.996365103043867
timer,1.8951892223432745,2.9981825515219334,5.720838464874797
timer,1.8951892223432745,2.8604192324373985,4.7233858883466455
timer,1.8951892223432745,2.3616929441733228,5.39256481584093
timer,1.8951892223432745,2.696282407920465,5.2175285613497655
timer,1.8951892223432745,2.6087642806748828,5.440940448084485
timer,1.8951892223432745,2.7204702240422427,6.236117198528092
timer,1.8951892223432745,3.118058599264046,6.507736562413294
timer,1.8951892223432745,3.253868281206647,5.741336728875348
timer,1.8951892223432745,2.870668364437674,4.877928446870877
timer,1.8951892223432745,2.4389642234354385,4.849483604316017
timer,1.8951892223432745,2.4247418021580085,5.464762274610235
timer,1.8951892223432745,2.7323811373051177,4.718513902771215
timer,1.8951892223432745,2.3592569513856074,3.782618087808324
timer,1.8951892223432745,1.891309043904162,3.8604713167396185
timer,1.8951892223432745,1.9302356583698093,4.172899168985324
timer,1.8951892223432745,2.086449584492662,3.3078346586722764
timer,1.8951892223432745,1.6539173293361382,3.9533902401338894
timer,1.8951892223432745,1.9766951200669447,3.763264092273671
timer,1.8951892223432745,1.8816320461368354,3.9539415154883084
timer,1.8951892223432745,1.9769707577441542,3.9747319817365265
timer,1.8951892223432745,1.9873659908682633,4.720555308592583
timer,1.8951892223432745,2.3602776542962913,4.8797082211093255
timer,1.8951892223432745,2.4398541105546627,4.732980756875062
timer,1.8951892223432745,2.366490378437531,4.293000924386531
timer,1.8951892223432745,2.1465004621932655,5.01315299423211
timer,1.8951892223432745,2.506576497116055,5.612245114862288
timer,1.8951892223432745,2.806122557431144,6.271485120997392
timer,1.8951892223432745,3.135742560498696,7.874970004779326
timer,1.8951892223432745,3.937485002389663,7.990015256340898
timer,1.8951892223432745,3.995007628170449,9.712027913666887
timer,1.8951892223432745,4.8560139568334435,11.053143270927613
timer,1.8951892223432745,5.526571635463807,11.07570016886503
timer,1.8951892223432745,5.537850084432515,9.684446860731448
timer,1.8951892223432745,4.842223430365724,8.71328930895588
timer,1.8951892223432745,4.35664465447794,8.797671139319103
timer,1.8951892223432745,4.398835569659552,9.082656126505698
timer,1.8951892223432745,4.541328063252849,8.359202559448558
timer,1.8951892223432745,4.179601279724279,8.598283842562303
timer,1.8951892223432745,4.2991419212811515,8.827303096348016
timer,1.8951892223432745,4.413651548174008,8.731649208599247
timer,1.8951892223432745,4.365824604299624,7.984347302584627
timer,1.8951892223432745,3.9921736512923136,7.6445193372728415
timer,1.8951892223432745,3.8222596686364207,8.252280430134714
timer,1.8951892223432745,4.126140215067357,9.033814488571553
timer,1.8951892223432745,4.516907244285776,7.393331401526363
timer,1.8951892223432745,3.6966657007631816,8.481000404188707
timer,1.8951892223432745,4.240500202094354,8.870812905795685
timer,1.8951892223432745,4.435406452897842,8.257451778292621
timer,1.8951892223432745,4.128725889146311,7.8346253119511795
timer,1.8951892223432745,3.9173126559755898,6.497797838800468
timer,1.8951892223432745,3.248898919400234,6.520138836337081
timer,1.8951892223432745,3.2600694181685403,7.0339885404031035
timer,1.8951892223432745,3.5169942702015518,8.720336906883626
timer,1.8951892223432745,4.360168453441813,8.702479821740944
timer,1.8951892223432745,4.351239910870472,9.451834967255028
timer,1.8951892223432745,4.725917483627514,9.474965987233212
timer,1.8951892223432745,4.737482993616606,9.502260919424318
timer,1.8951892223432745,4.751130459712159,8.695738150517455
timer,1.8951892223432745,4.3478690752587275,9.888520542454012
timer,1.8951892223432745,4.944260271227006,8.555918948496727
timer,1.8951892223432745,4.277959474248363,8.233227921242563
timer,1.8951892223432745,4.116613960621281,7.176610751135174
timer,1.8951892223432745,3.588305375567587,7.030858562416889
timer,1.8951892223432745,3.5154292812084447,5.5505008356270205
timer,1.8951892223432745,2.7752504178135102,5.152844787903912
timer,1.8951892223432745,2.576422393951956,4.9850736474573445
timer,1.8951892223432745,2.4925368237286722,4.76787069690283
timer,1.8951892223432745,2.383935348451415,4.828456022061816
timer,1.8951892223432745,2.414228011030908,6.127830290009411
timer,1.8951892223432745,3.0639151450047053,6.667997925270096
timer,1.8951892223432745,3.333998962635048,5.877111320796033
timer,1.8951892223432745,2.9385556603980163,5.371075563165229
timer,1.8951892223432745,2.6855377815826147,5.1697667351749494
timer,1.8951892223432745,2.5848833675874747,5.776464162233493
timer,1.8951892223432745,2.8882320811167466,6.687373275675055
timer,1.8951892223432745,3.3436866378375276,6.079051382816031
timer,1.8951892223432745,3.0395256914080155,6.69119401790437
timer,1.8951892223432745,3.345597008952185,6.942853003453097
timer,1.8951892223432745,3.4714265017265484,7.555801239824697
timer,1.8951892223432745,3.7779006199123484,6.95034361867452
timer,1.8951892223432745,3.47517180933726,7.230427503993734
timer,1.8951892223432745,3.615213751996867,7.152560988691533
timer,1.8951892223432745,3.5762804943457667,7.159659668897944
timer,1.8951892223432745,3.579829834448972,9.406125887138524
timer,1.8951892223432745,4.703062943569262,10.03443997560736
timer,1.8951892223432745,5.01721998780368,9.30846139440753
timer,1.8951892223432745,4.654230697203765,9.841149498392914
timer,1.8951892223432745,4.920574749196457,8.946573139138879
timer,1.8951892223432745,4.4732865695694395,7.381789866153687
timer,1.8951892223432745,3.6908949330768435,7.135669420533419
timer,1.8951892223432745,3.5678347102667094,7.425762483749483
timer,1.8951892223432745,3.7128812418747414,7.983155207250394
timer,1.8951892223432745,3.991577603625197,8.058545033740284
timer,1.8951892223432745,4.029272516870142,7.754723167033883
timer,1.8951892223432745,3.8773615835169415,7.253018833322356
timer,1.8951892223432745,3.626509416661178,6.356283868114983
timer,1.8951892223432745,3.1781419340574915,8.120602702659273
timer,1.8951892223432745,4.060301351329636,8.227900069132115
timer,1.8951892223432745,4.113950034566058,8.578263341248269
timer,1.8951892223432745,4.289131670624134,8.645250524848914
timer,1.8951892223432745,4.322625262424457,8.208100662884615
timer,1.8951892223432745,4.104050331442307,8.726206531547982
timer,1.8951892223432745,4.363103265773991,9.32292215953048
timer,1.8951892223432745,4.66146107976524,9.282688708849125
timer,1.8951892223432745,4.641344354424563,10.458853485036682
timer,1.8951892223432745,5.229426742518341,11.356785719128574
timer,1.8951892223432745,5.678392859564287,12.815033610479857
timer,1.8951892223432745,6.407516805239928,11.681647338111286
timer,1.8951892223432745,5.840823669055643,11.279351743750583
timer,1.8951892223432745,5.6396758718752915,11.013445571470529
timer,1.8951892223432745,5.506722785735264,11.282147615142073
timer,1.8951892223432745,5.641073807571036,12.10927354865641
timer,1.8951892223432745,6.054636774328205,10.615872457067628
timer,1.8951892223432745,5.307936228533814,7.247168985447202
timer,1.8951892223432745,3.623584492723601,7.513924369575215
timer,1.8951892223432745,3.7569621847876076,9.151157677046458
timer,1.8951892223432745,4.575578838523229,10.65766422312909
timer,1.8951892223432745,5.328832111564545,9.489696040567923
timer,1.8951892223432745,4.744848020283961,9.434764176151253
timer,1.8951892223432745,4.7173820880756265,11.179972475407789
timer,1.8951892223432745,5.5899862377038945,11.809171318677553
timer,1.8951892223432745,5.904585659338776,9.618242115251734
timer,1.8951892223432745,4.809121057625867,10.560133341873135
timer,1.8951892223432745,5.280066670936567,13.455666707613306
timer,1.8951892223432745,6.727833353806653,16.717657380879416
timer,1.8951892223432745,8.358828690439708,13.530016212343169
timer,1.8951892223432745,6.765008106171584,10.966065151022983
timer,1.8951892223432745,5.4830325755114915,9.639536111960261
timer,1.8951892223432745,4.819768055980131,11.090562518755801
timer,1.8951892223432745,5.545281259377901,11.19304957337286
timer,1.8951892223432745,5.59652478668643,10.554141479227967
timer,1.8951892223432745,5.2770707396139835,7.810918388352191
timer,1.8951892223432745,3.9054591941760957,6.174533458438213
